Date,Country,Industry_std,Sales_index
2006-08-01,Australia,Department Stores,90.38401799582242
2006-08-01,Australia,Nonstore / Online,67.37987430871006
2006-08-01,Australia,Supermarkets & Grocery,64.5302010031631
2006-08-01,Great Britain,Building Materials & Garden,78.81475838255412
2006-08-01,Great Britain,Clothing & Footwear,73.70636394508803
2006-08-01,Great Britain,Department Stores,66.90165055216116
2006-08-01,Great Britain,Electronics & Appliances,97.35719699602063
2006-08-01,Great Britain,Nonstore/Online,40.86238460340631
2006-08-01,Great Britain,Supermarkets & Grocery,70.14402149
2006-08-01,New Zealand,Building Materials & Garden,107.6843697597242
2006-08-01,New Zealand,Clothing & Footwear,89.84470889588559
2006-08-01,New Zealand,Department Stores,84.19397587655263
2006-08-01,New Zealand,Nonstore / Online,57.3656551957959
2006-08-01,New Zealand,Supermarkets & Grocery,101.8041753169426
2006-08-01,United States,Building Materials & Garden,108.916888781197
2006-08-01,United States,Clothing & Footwear,108.916888781197
2006-08-01,United States,Department Stores,108.916888781197
2006-08-01,United States,Electronics & Appliances,108.916888781197
2006-08-01,United States,Nonstore / Online,108.916888781197
2006-08-01,United States,Supermarkets & Grocery,108.916888781197
2006-09-01,Australia,Clothing & Footwear,75.64062132161877
2006-09-01,Australia,Department Stores,86.3156767179048
2006-09-01,Australia,Nonstore / Online,67.07914950353643
2006-09-01,Australia,Supermarkets & Grocery,65.02841397152203
2006-09-01,Great Britain,Building Materials & Garden,98.60533932751504
2006-09-01,Great Britain,Clothing & Footwear,90.26202088
2006-09-01,Great Britain,Department Stores,82.35435273010386
2006-09-01,Great Britain,Electronics & Appliances,119.55237400602736
2006-09-01,Great Britain,Nonstore/Online,49.25928991
2006-09-01,Great Britain,Supermarkets & Grocery,88.52276165128832
2006-09-01,New Zealand,Building Materials & Garden,107.6843697597242
2006-09-01,New Zealand,Clothing & Footwear,89.84470889588559
2006-09-01,New Zealand,Department Stores,84.19397587655263
2006-09-01,New Zealand,Nonstore / Online,57.3656551957959
2006-09-01,New Zealand,Supermarkets & Grocery,101.8041753169426
2006-09-01,United States,Building Materials & Garden,109.0622728374122
2006-09-01,United States,Clothing & Footwear,109.0622728374122
2006-09-01,United States,Department Stores,109.0622728374122
2006-09-01,United States,Electronics & Appliances,109.0622728374122
2006-09-01,United States,Nonstore / Online,109.0622728374122
